,notes,principal_freq,slope,dur
1985,tickling,81.8697,-110.7826,0.03829999999999245
1986,tickling,79.9864,-576.6126,0.03829999999999245
1987,tickling,89.7014,64.7792,0.023999999999944066
1988,tickling,92.8547,345.7812,0.03509999999999991
1989,tickling,94.2282,548.8398,0.022299999999972897
1990,tickling,93.9038,494.7261,0.03520000000003165
1991,tickling,79.9099,72.5802,0.007999999999981355
1992,tickling,76.2606,-270.602,0.02549999999996544
1993,tickling,83.8328,-729.4567,0.05269999999995889
1994,tickling,85.5443,239.9534,0.0765999999999849
1995,tickling,97.0523,388.0127,0.03669999999999618
1996,tickling,87.8263,179.5747,0.03509999999999991
1997,tickling,82.0427,347.1801,0.030300000000011096
1998,tickling,80.0089,-324.2488,0.041600000000016735
1999,tickling,81.8733,-401.236,0.03840000000002419
2000,tickling,83.7636,235.282,0.014400000000023283
2001,tickling,83.4322,35.4709,0.08629999999999427
2002,tickling,80.4469,-829.729,0.06389999999998963
2003,tickling,95.1606,297.5913,0.03989999999998872
2004,tickling,78.9166,-77.8103,0.043099999999981264
2005,tickling,92.2028,-195.4082,0.012800000000027012
2006,tickling,83.4468,-277.3651,0.04149999999998499
2007,tickling,88.2256,236.5429,0.054300000000012005
2008,tickling,93.9179,159.6478,0.02719999999999345
2009,tickling,93.9248,91.2851,0.04959999999999809
2010,tickling,106.7728,546.8216,0.04949999999996635
2011,tickling,58.7556,100.3614,0.04629999999997381
2012,tickling,79.0753,-1.3203,0.022299999999972897
2013,tickling,86.5726,209.9599,0.012800000000027012
2014,tickling,92.8161,562.7659,0.028800000000046566
2015,tickling,97.5109,184.7761,0.040000000000020464
2016,tickling,77.509,-339.4462,0.012800000000027012
2017,tickling,95.2557,193.2092,0.055999999999983174
2018,tickling,80.002,-898.4529,0.01599999999996271
2019,tickling,84.3823,573.1974,0.012799999999970169
2020,tickling,90.3269,-99.5784,0.02240000000000464
2021,tickling,90.6403,-286.5079,0.020800000000008367
2022,tickling,87.6657,-289.0892,0.02390000000002601
2023,tickling,81.7519,50.8566,0.03519999999997481
2024,tickling,86.265,254.0307,0.006399999999985084
2025,tickling,96.5602,786.2998,0.028799999999989723
2026,tickling,93.4241,-899.359,0.04470000000000596
2027,tickling,93.1367,241.9094,0.0367999999999995
2028,tickling,107.6606,399.1271,0.04800000000000182
2029,tickling,104.3746,411.4547,0.041600000000002524
2030,tickling,97.5036,271.2147,0.04949999999999477
2031,tickling,93.9176,-136.7857,0.012700000000009481
2032,tickling,80.8167,561.8975,0.031999999999996476
2033,tickling,60.936,-191.234,0.03669999999999618
2034,tickling,91.9067,327.3357,0.06389999999998963
2035,tickling,92.099,305.7643,0.06229999999999336
2036,tickling,90.021,65.2741,0.054299999999997794
2037,tickling,93.2418,291.3907,0.055900000000008276
2038,tickling,94.0756,310.8479,0.05760000000000787
2039,tickling,87.1996,252.1267,0.04000000000000625
2040,tickling,89.8529,-390.8164,0.009500000000002728
2041,tickling,93.1287,424.6967,0.041499999999999204
2042,tickling,87.5027,96.2312,0.02400000000000091
2043,tickling,91.5673,247.6277,0.06389999999998963
2044,tickling,78.4029,72.8303,0.030400000000000205
2045,tickling,81.2622,516.3723,0.05269999999998731
2046,tickling,79.6932,-525.3956,0.020799999999994156
2047,tickling,79.5878,81.8602,0.01279999999999859
2048,tickling,95.0152,144.8716,0.019199999999983675
2049,tickling,83.7605,-553.5381,0.019199999999983675
2050,tickling,77.5113,-44.6303,0.016000000000019554
2051,tickling,99.0726,97.3124,0.05109999999999104
2052,tickling,86.0602,-138.0601,0.015999999999991132
2053,tickling,103.2739,20.133,0.014400000000023283
2054,tickling,95.3217,239.4407,0.039900000000017144
2055,tickling,96.8834,126.073,0.04640000000000555
2056,tickling,105.6256,140.1127,0.04960000000002651
2057,tickling,91.4131,478.74,0.027099999999990132
2058,tickling,89.0675,-558.2641,0.019100000000008777
2059,tickling,90.0094,395.3844,0.03200000000001069
2060,tickling,91.5372,-502.3467,0.0478999999999985
2061,tickling,92.8264,160.7429,0.030300000000011096
2062,tickling,88.1271,305.7646,0.03200000000001069
2063,tickling,64.3793,-1313.1816,0.04470000000000596
2064,tickling,83.4388,-210.6513,0.0782999999999845
2065,tickling,61.5714,-732.4862,0.03669999999999618
2066,tickling,92.8462,1133.3675,0.006399999999985084
2067,tickling,61.2577,-1042.8329,0.041500000000013415
2068,tickling,80.6592,-347.9527,0.017499999999984084
2069,tickling,107.0256,248.3187,0.03999999999999204
2070,tickling,96.8826,158.3211,0.043199999999984584
2071,tickling,92.3173,-845.4675,0.04149999999998499
2072,tickling,78.1372,-630.4241,0.011199999999973898
2073,tickling,100.7064,-760.6962,0.009600000000006048
2074,tickling,93.9107,245.8913,0.043099999999981264
2075,tickling,85.0128,-306.6703,0.020799999999979946
2076,tickling,86.2191,-37.8134,0.017600000000015825
2077,tickling,96.2476,354.1051,0.05109999999999104
2078,tickling,97.1424,203.7961,0.055900000000008276
2079,tickling,98.0191,6.8937,0.054400000000015325
2080,tickling,82.3549,272.8101,0.015999999999991132
2081,tickling,96.5636,287.9784,0.043199999999984584
2082,tickling,82.3576,-7.2923,0.03509999999999991
2083,tickling,95.9077,388.6098,0.06080000000000041
2084,tickling,79.8573,77.9205,0.03350000000000364
2085,tickling,95.6221,611.5255,0.04630000000000223
2086,tickling,77.5113,-59.0296,0.015999999999991132
2087,tickling,90.3136,292.8814,0.028799999999989723
2088,tickling,95.6243,586.9068,0.030400000000014415
2089,tickling,85.9493,-117.6416,0.041500000000013415
2090,tickling,81.2077,-685.897,0.055899999999979855
2091,tickling,82.1988,73.2781,0.01279999999999859
2092,tickling,89.8475,68.3054,0.0654999999999859
2093,tickling,80.9485,-346.6971,0.043200000000013006
2094,tickling,81.7225,-1326.4501,0.019200000000012096
2095,tickling,91.2311,-62.4729,0.044699999999977535
2096,tickling,95.1637,203.5782,0.03829999999999245
2097,tickling,77.1972,-630.4023,0.027200000000050295
2098,tickling,77.509,521.0885,0.012799999999970169
2099,tickling,76.7312,105.6154,0.019099999999980355
2100,tickling,90.1094,1.268,0.08629999999999427
2101,tickling,60.6337,-950.3347,0.04949999999996635
2102,tickling,91.3441,155.4274,0.06069999999999709
2103,tickling,85.4826,4.3032,0.033599999999978536
2104,tickling,90.1213,106.7862,0.055900000000008276
2105,tickling,83.7613,-270.5652,0.019200000000012096
2106,tickling,61.8794,-564.9826,0.06069999999999709
2107,tickling,85.9486,173.6747,0.033599999999978536
2108,tickling,85.6356,359.211,0.043200000000013006
2109,tickling,81.89,237.1245,0.031999999999982265
2110,tickling,82.3557,-60.2201,0.017499999999984084
2111,tickling,80.1597,353.4387,0.017600000000015825
2112,tickling,95.7964,135.1013,0.02559999999999718
2113,tickling,105.3157,144.5021,0.04640000000000555
2114,tickling,107.182,283.6878,0.04149999999998499
2115,tickling,86.1066,-272.205,0.04159999999995989
2116,tickling,98.0144,-224.4554,0.007999999999981355
2117,tickling,95.9442,495.7656,0.03350000000000364
2118,tickling,78.9192,-138.2156,0.015900000000044656
2119,tickling,89.701,266.8315,0.030300000000011096
2120,tickling,79.073,138.3471,0.02400000000000091
2121,tickling,93.1279,370.3737,0.03829999999999245
2122,tickling,94.6973,431.784,0.030399999999985994
2123,tickling,91.8894,-193.3145,0.022299999999972897
2124,tickling,83.8195,-146.5561,0.017600000000015825
2125,tickling,81.8878,508.4123,0.027100000000018554
2126,tickling,87.5038,178.782,0.028700000000014825
2127,tickling,88.1378,464.9192,0.03190000000000737
2128,tickling,94.0756,115.6989,0.03989999999998872
2129,tickling,93.4451,-280.9962,0.03669999999999618
2130,tickling,81.2592,567.133,0.02559999999999718
2131,tickling,93.4489,298.2388,0.03669999999999618
2132,tickling,69.6938,-628.5064,0.05110000000001946
2133,tickling,83.1365,415.8105,0.019200000000012096
2134,tickling,87.5153,465.7675,0.011200000000030741
2135,tickling,79.6488,-46.6557,0.031999999999982265
2136,tickling,84.546,604.1803,0.025500000000022283
2137,tickling,95.6411,28.0412,0.03200000000003911
